"!symbol / month","!symbol / Monat"
"Issuing Bank","Issuing Bank"
"It is not possible to checkout in your country.","Es ist in Ihrem Land nicht möglich zu bezahlen."
"Item","Artikel"
"Items","Artikel"
"Items Refunded","Artikel zurückerstattet"
"JCB","JCB"
"Klarna: Merchant ID","Klarna: Merchant ID"
"Klarna: Shared Secret","Klarna: Shared Secret"
"Laser","Laser"
"Learn More","Mehr erfahren"
"Live Environment","Live Umgebung"
"Live HMAC Key","Live HMAC Key"
"Live Identifier (PBX_IDENTIFIANT)","Live Identifier (PBX_IDENTIFIANT)"
"Live Mode","Live Modus"
"Live Password","Live Passwort"
"Live Rang (PBX_RANG)","Live Rang"
"Live Site ID (PBX_SITE)","Live Site ID (PBX_SITE)"
"Logging","Logging"
"Login","Login"
"Login & Register","Login & Registrieren"
"Login and password are required.","Login und Passwort sind erforderlich."
"MOTO Shared Secret Connect Interface","MOTO Shared Secret Connect Interface"
"MOTO Shared Secret Connect Interface (Test)","MoTo Shared Secret Connect Interface (Test)"
"MOTO Store ID","MoTo Store ID"
"MOTO Store ID (Test)","MoTo Store ID (Test)"
"Maestro","Maestro"
"Maestro UK","Maestro UK"
"Mail order/telephone order authorization","Autorisierung von eMail-/Telefonbestellungen"
"Male","Männlich"
"Manage Stores","Shops verwalten"
"Manage FirstData Connect Aliases","FirstData Connect Aliasse verwalten"
"Mandate Reference","Mandatsreferenz"
"MasterCard","MasterCard"
"MasterPass","MasterPass"
"MasterPass: Order Confirmation","MasterPass: Bestellungsbestätigung"
"Maximum Order Total","Maximales Bestelltotal"
"Message","Nachricht"
"Method Title","Titel der Zahlungsmethode"
"Method information","Informationen über die Zahlungsmittel"
"Minimal Monthly Payment","Monatliche Mindestrate"
"Minimum Order Total","Minimales Bestelltotal"
"Missing requried parameters","Zwingende Parameter fehlen"
"MoTo","MoTo"
"MoTo FirstData Connect API Password","MoTo FirstData Connect API Passwort"
"MoTo FirstData Connect API Password (Test)","MoTo FirstData Connect API Passwort (Test)"
"MoTo FirstData Connect API User Id","MoTo FirstData Connect API User ID"
"MoTo FirstData Connect API User Id (Test)","MoTo FirstData Connect API User ID (Test)"
"Mobile","Mobil"
"Month","Monat"
"Moto Client Certificate Passphrase","MoTo Kundenzertifikats-Passwort"
"Moto Client Certificate Passphrase (Test)","MoTo Client Certificate Passphrase (Test)"
"My FirstData Connect Aliases","Meine FirstData Connect Aliasse"
"New Order","Neue Bestellung"
"New Order Status","Neuer Bestellstatus"
"New card","Neue Karte"
"Next Update Execution Date","Nächstes Ausführungsdatum für Updates"
"No","Nein"
"No Items","Keine Artikel"
"No Store ID was provided.","Es wurde keine Store ID angegeben."
"No additional payment information available.","Keine zusätzliche Zahlungsinformationen verfügbar"
"No authorization method found for payment method !method.","Es konnte keine Autorisierungsmethode für die Zahlmethode '!method' gefunden werden."
"No button returned.","Kein Knopf erhalten."
"No day set in the date of birth field.","Beim Geburtdatum wurde kein Tag angegeben."
"No hash provided","Es wurde kein Hash zurückgegeben"
"No month set in the date of birth field.","Beim Geburtdatum wurde kein Monat angegeben."
"No refund possible.","Keine Rückvergütung möglich"
"No shipping method needed.","Keine Versandmethode benötigt."
"No year set in the date of birth field.","Beim Geburtdatum wurde kein Jahr angegeben."
"No, use the dropdown.","Dropdown-Menü benutzen"
"None","Keine"
"Not enrolled","Nicht eingeschrieben"
"Only an authorized transaction can be marked as finally declined.","Nur autorisierte Transaktionen können als endgültig abgelehnt markiert werden."
"Only an uncertain transaction can be marked as finally declined.","Nur unsichere Transaktionen können als endgültig abgelehnt markiert werden."
"Only authorized transaction can be cancelled.","Nur autorisierte Transaktionen können storniert werden."
"Only authorized transaction can be captured.","Nur autorisierte Transaktionen können verbucht werden."
"Only authorized transaction can be refunded.","Nur autorsierte Transaktionen können gutgeschrieben werden."
"Only captured transaction can be refunded.","Nur gebuchte Transaktionen können gutgeschrieben werden."
"Only on captured transaction the flag customer refusing to pay can be set.","Nur bei bereits verbuchten Transaktionen kann ein Flag zur Markierung von Kunden, die nicht bezahlt haben, gesetzt werden."
"Operation Mode","Betriebsmodus"
"Order #","Bestellnummer"
"Order Grand Total","Gesamtsumme der Bestellung"
"Order Information","Bestellungsinformation"
"Order Prefix","Bestell-Präfix"
"Order Review","Bestellungsüberprüfung"
"Order Summary","Bestellzusammenfassung"
"Order Total","Bestelltotal"
"Order cancelled, because the customer was too long in the payment process of FirstData Connect.","Bestellung wurde abgebrochen, da der Kunde sich zu lange im Zahlungsprozess von FirstData Connect befand."
"Order prefix","Bestellungs-Präfix"
"Order was placed using %s","Order was placed using %s"
"Orders","Bestellungen"
"Orders with with payments that are longer pending than the specified timeout in minutes are cancelled automatically.","Bestellungen, deren Zahlungen länger ausstehend bleiben als das definierte Timeout in Minuten, werden automatisch abgebrochen. Um dieses Feature benutzen zu können, müssen Sie Magento Cron aufsetzen."
"Paid Amount","Bezahlter Betrag"
"Partial captures/refunds of Klarna payments cannot be created in the shop. This can only be done in the PSP backend.","Teilaktivierungen und Teilgutschriften von Klarna Bestellungen können nicht im Shop durchgeführt werden. Dies müssen Sie im Backend des PSPs durchführen."
"Partial captures/refunds of Klarna payments containing discount/coupons items cannot be created in the shop. This can only be done in the PSP backend.","Teilverbuchungen und Teilrückerstattungen bei Bestellungen mit Coupons sind nicht möglich im Shop. Bitte benutzen Sie das Virtual Terminal von FirstData Connect."
"Partial refund not possible. You may retry with the total transaction amount.","Teilrückzahlung nicht möglich. Die Summe ist grösser als der verbuchte Gesamtbetrag."
"Password","Passwort"
"Password and password confirmation are not equal.","""Passwort"" und ""Passwort bestätigen"" stimmen nicht überein."
"Pay with ____paymentMethodName____","Zahlen mit ____paymentMethodName____"
"Payment","Zahlung"
"Payment ID","Zahlungs-ID"
"Payment Id","Payment ID"
"Payment Information","Zahlungsinformationen"
"Payment Information only","Nur Zahlungsinformationen"
"Payment Method","Zahlungsmethode"
"Payment and Billing","Zahlung und Rechnungstellung"
"Payment captured successfully.","Die Zahlung wurde erfolgreich vebucht."
"Payment could not be authorized. Cancelling order. Reason : ","Die Zahlung konnte nicht autorisiert werden. Bestellung wird abgebrochen. Grund:"
"Payment details can be entered after placing the order","Die Zahlungsinformationen können eingegeben werden, nachdem die Bestellung bestätigt wurde."
"Payment from Applicable Countries","Zahlung von zutreffenden Ländern"
"Payment from Specific Countries","Zahlung von spezifischen Ländern"
"Payment from applicable countries","Zahlung von zutreffenden Ländern"
"Payment from specific countries","Zahlung von spezifischen Ländern"
"Payment is pending at FirstDataConnectCw","Zahlung ist bei FirstDataConnectCw ausstehend"
"Payment method description","Beschreibung der Zahlungsmethode"
"Payment with %s","Zahlung mit %s"
"Payment with FirstData Connect","Zahlung mit FirstData Connect"
"Payment, Billing and Shipping","Zahlung, Rechnungstellung und Lieferung"
"Payments may be updated periodically (interval in minutes). To use this feature you have to setup magento cron","Mit der Aktivierung dieser Option wird periodisch der Status der Zahlung via API Interface abgefragt. Um das Feature zu nutzen, muss der Magento Cron aktiviert sein."
"Pending","Ausstehend"
"Pending FirstDataConnectCw","Ausstehend  FirstDataConnectCw"
"Phone Number","Telefonnummer"
"Place Order","Rechtsverbindlich bestellen"
"Please accept the terms and conditions.","Stimmen Sie bitte den Allgemeinen Geschäftsbedingungen zu."
"Please agree to all the terms and conditions before placing the order.","Bitte stimmen Sie vor dem Platzieren der Bestellung den allgemeinen Geschäftsbedingungen zu."
"Please check the entered CVC number.","Bitte überprüfen Sie den eingegebenen CVC."
"Please check the entered credit card number.","Bitte geben Sie eine Kreditkartennummer ein."
"Please configure the Klarna Merchant ID","Bitte konfigurieren Sie die Klarna Merchant ID"
"Please configure the Klarna Shared Secret","Bitte konfigurieren Sie das Klarna Shared Secret"
"Please enter a day of birth.","Bitte geben Sie Ihr Geburtsdatum ein."
"Please enter a phone number.","Bitte geben Sie eine Telefonnummer ein."
"Please enter a valid day of birth.","Bitte geben Sie ein gültiges Geburtsdatum ein."
"Please enter here the Bank Identifier Code (BIC).","Bitte tragen Sie hier einen BIC ein (Bank identifier Code)."
"Please enter here the CVC code from your card. You find the code on the back of the card.","Bitte geben Sie hier den CVC Ihrer Karte ein. Sie finden diesen auf der Rückseite Ihrer Kreditkarte."
"Please enter here the IBAN of your bank account.","Bitte geben Sie die IBAN Ihres Bankkontos ein."
"Please enter here the International Bank Account Number (IBAN).","Bitte geben Sie die IBAN Ihres Bankkontos ein."
"Please enter here the account holder name on the card.","Bitte geben Sie den Kontoinhaber an."
"Please enter here the account holder name.","Bitte tragen Sie hier den Kontoinhaber ein."
"Please enter here the account number of your bank account.","Bitte geben Sie die IBAN Ihres Bankkontos ein."
"Please enter here the bank code of your bank.","Bitte geben Sie den Bankcode Ihrer Bank ein."
"Please enter here the card holder name on the card.","Bitte geben Sie den Karteninhaber auf Ihrer Kreditkarte ein."
"Please enter here the commercial number of your company.","Sie müssen die Handelsregisternummer Ihrer Firma eingeben"
"Please enter here the name of the account owner.","Bitte geben Sie den Namen des Kontoinhabers an."
"Please enter here the number on your card.","Bitte geben Sie hier die Kartennummer Ihrer Kreditkarte ein."
"Please enter here the sales tax number of your company.","Bitte tragen Sie hier die Steuernummer Ihrer Firma ein."
"Please enter here your birthplace","Bitte geben Sie Ihr Geburtsdatum ein."
"Please enter here your phone number.","Bitte geben Sie hier Ihre Telefonnummer an."
"Please enter here your social security number.","Bitte geben Sie hier Ihre Sozialversicherungsnummer ein."
"Please enter the BIC of your bank.","Bitte geben Sie die BIC ein."
"Please enter the location of your bank.","Bitte geben Sie den Standort Ihrer Bank ein."
"Please enter the name of your bank.","Bitte geben Sie hier den Namen Ihrer Bank ein."
"Please enter your Date of Birth (DD.MM.YYYY).","Bitte geben Sie Ihr Geburtsdatum ein (DD.MM.YYYY)"
"Please enter your IBAN number.","Bitte geben Sie Ihre IBAN ein."
"Please enter your issue number, if there is no CVC code on your card.","Bitte geben Sie die Ausgabenummer von Ihrer Karte ein, falls Sie keinen CVC auf Ihrer Karte haben."
"Please enter your phone number.","Bitte geben Sie Ihre Telefonnummer ein."
"Please enter your social security number.","Bitte geben Sie Ihre Sozialversicherungsnummer an."
"Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.","Bitte deaktivieren Sie Cache und versuchen Sie es erneut. Sollte dies nicht helfen, ändern Sie die Autorisationsmethode zu PaymentPage und <a href=""%s"" target=""_blank"">kontaktieren Sie sellXed</a>."
"Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.', 'http://www.sellxed.com/en/support","Bitte leeren oder deaktivieren Sie den Cache-Speicher und versuchen Sie es erneut. Falls dies nicht hilft, ändern Sie die Autorisationsmethode zu Payment Page und <a href=""%s"" target=""_blank"">kontaktieren Sie sellXed</a>.', 'http://www.sellxed.com/en/support"
"Please flush or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.","Bitte entleeren oder deaktivieren Sie Ihren Cache und versuchen Sie es erneut. Falls es immer noch nicht klappt, ändern Sie die Autorisierungsmethode zu PaymentPage und kontaktieren Sie <a href=""%s"" target=""_blank"">sellxed</a>."
"Please log in below:","Bitte loggen Sie sich ein:"
"Please read and accept the terms and conditions.","Bitte lesen Sie die Allgemeinen Geschäftsbedingungen und stimmen diesen zu."
"Please selecet your gender.","Wählen Sie ihr Geschlecht"
"Please select","-- Bitte wählen --"
"Please select a shipping method before sending the order.","Bitte wählen Sie vor dem Übermitteln der Bestellung eine Versandmethode aus."
"Please select the Bank Identifier Code (BIC) of your bank.","Wählen Sie einen BIC (Bank Identifier Code) Ihrer Bank."
"Please select the day of your birth.","Bitte wählen Sie den Tag Ihrer Geburt aus."
"Please select the expiry month on your card.","Bitte wählen Sie den Monat des Ablaufdatums auf Ihrer Kreditkarte aus."
"Please select the expiry year on your card.","Bitte geben Sie das Ablaufdatum der Karte ein."
"Please select the month of your birth.","Bitte wählen Sie den Monat Ihrer Geburt aus."
"Please select the the year of your birth.","Bitte wählen Sie das Jahr Ihrer Geburt aus."
"Please select your gender.","Wählen Sie ihr Geschlecht"
"Please select your issuing bank.","Wählen Sie bitte Ihre herausgebende Bank."
"Please specify the merchant id (EID) of your Klarna account.","Bitte geben Sie die Händler ID (EID) Ihres Klarna Benutzerkontos an."
"Please specify the shared secret your Klarna account.","Bitte geben Sie ein Shared Secret Ihres Klarna Accounts an."
"Please wait, processing your order...","Bitte warten, während die Bestellung verarbeitet wird..."
"Price","Preis"
"Product","Produkt"
"Product Name","Produktname"
"Pull interval","Pull-Intervall"
"Purchase Point","Einkaufsort"
"Qty","Anzahl"
"Raten und Laufzeit selbst bestimmen (<a href='https://cdn.klarna.com/1.0/shared/content/legal/terms/123/de_de/account' target='_new' >Lesen sie mehr</a>)","Raten und Laufzeit selbst bestimmen (<a href='https://cdn.klarna.com/1.0/shared/content/legal/terms/123/de_de/account' target='_new' >Lesen sie mehr</a>)"
"Ratenkauf","Ratenkauf"
"Rechnung","Rechnung"
"Recurring Payments","Abo Zahlungen"
"Refund Amount","Rückerstattungsbetrag"
"Refund ID","Rückvergütungs ID"
"Refund amount","Rückerstattungsbetrag"
"Refund information","Informationen zur Gutschrift"
"Refund status","Gutschriftsstatus"
"Refunded Amount","Rückerstattungsbetrag"
"Refunds","Gutschrift"
"Register","Registireren"
"Register to Create an Account","Registrieren, um ein Benutzerkonto zu erstellen"
"Register with us for future convenience:","Registrieren Sie sich bei uns für zukünftigen Komfort:"
"Release Date","Erscheinungsdatum"
"Responsive Payment Page","Responsive Payment Page"
"Review","Übersicht"
"Rounding Adjustment","Rundungskorrekturen"
"Row Total","Zeilensumme"
"SEPA Mandate ID","SEPA Mandats ID"
"SKU:","SKU:"
"Sales","Verkäufe"
"Sales Tax Number","Steuer Nummer"
"Save","Speichern"
"Saved cards:","Gespeicherte Karten:"
"See order and shipping status","Bestell- und Versandstatus ansehen"
"Select Brand","Wählen Sie den Kartentyp aus."
"Select Method","Methode auswählen"
"Select if DirektÜberweisung should verfiy payment data","Bitte wählen Sie ob DirektÜberweisung die Zahlungsangaben überprüfen soll"
"Select the additional information shown to the customer.","Wählen Sie die zusätzliche Information aus, welche dem Kunden angezeigt wird."
"Select the authorization method to use for processing this payment method.","Wählen Sie bitte die Autorisierungsmethode für diese Zahlweise. (Bitte beachten Sie, dass die Hidden Autorisierung für Kreditkarten (sofern vorhanden) zusätzliche Zertifizerungsanforderungen mit sich bringt SAQ-A-EP. Für weitere Informationen kontkatieren Sie bitte FirstData Connect)."
"Select the data which FirstData Connect collects during the payment page checkout process","Wählen Sie die Daten aus, welche von FirstData Connect während des Checkout Prozesses gesammelt werden sollen."
"Select the data which FirstData Connect collects during the payment page checkout process. We suggest that you use 'Payment Information only' otherwise the user will be asked for additional details on the Payment Page.","Wählen Sie die Daten aus, welche von FirstData Connect während des Checkout Prozesses gesammelt werden sollen. Wir empfehlen Ihnen 'Nur Zahlungsinformationen' zu wählen, sonst wird der Kunde auf der Payment Page noch nach zusätzlichen Informationen gefragt."
"Select the date of your birth.","Wählen Sie Ihr Geburtsdatum."
"Select the date on which your card expires.","Wählen Sie das Kartenablaufdatum."
"Select your gender","Wählen Sie ihr Geschlecht"
"Sellxed On Hold","Sellxed In Wartestellung"
"Send Invoice Email","Rechnungs-E-Mail senden"
"Send amounts to FirstData Connect in base currency.","Den Betrag an FirstData Connect  in der Standard Währung setteln"
"Send amounts to FirstData Connect in store's base currency.","Beträge in der Basiswährung des Shops an FirstData Connect senden."
"Send invoice email","Rechnungsmail versenden"
"Send the invoice email automatically after invoice creation.","Soll das Rechnungsemail direkt nach dem Erstellen der Rechnung versendet werden?"
"Set direct capture after order. In this case your authoization will directly be captured on your customer's credit card","Wenn Sie 'Direkte Buchung' wählen, wird die Autorisierung direkt von der Kredit Karte des Kunden abgebucht. Bei 'Verzögerte Buchung' wird der Betrag verzögert zu einem von Ihnen definierten Zeitpunkt verbucht."
"Set the sort order to show the external checkouts.","Legen Sie die Reihenfolge fest, in der externe Checkouts angezeigt werden sollen."
"Settlement after order","Erstellung nach der Bestellung"
"Shared Secret Connect Interface provided by FirstData Connect (Test).","Das 'Shared Secret Connect Interface' wird von FirstData Connect bereitgestellt (Test)."
"Shared Secret Connect Interface provided by FirstData Connect.","Shared Secret Connect Interface von FirstData Connect zur Verfügung gestellt."
"Shipping","Versand"
"Shipping & Handling","Shipping & Handling"
"Shipping Address","Lieferadresse"
"Shipping Amount","Lieferkosten"
"Shipping Information","Versandinformationen"
"Shipping Method","Versandmethode"
"Shipping Methods","Versandmethoden"
"Shipping Refund","Rückerstattung der Lieferkosten"
"Shop","Shop"
"Should the amount be captured automatically after the order (direct) or should the amount only be reserved (deferred)?","Soll der Betrag nach der Bestellung automatisch abgesendet (direkt) oder nur reserviert werden (verzögert)?"
"Show","Anzeigen"
"Show Account Selection","Account-Auswahl anzeigen"
"Show Further Settings and Information","Weitere Einstellungen und Informationen zeigen"
"Show Image","Bild anzeigen"
"Show Installment information","Information der Ratenzahlung ausweisen"
"Show Invoice information","Rechnungsinformation anzeigen"
"Show Payment Id","Payment ID anzeigen"
"Show the payment id","Anzeigen der Zahlungs ID"
"Show the payment id in the order information","Zahlungs ID in der Bestellinformation anzeigen"
"Show the payment image","Anzeigen der Zahlungslogos"
"Show the payment image on the checkout page","Zahlungslogos im Checkout anzeigen"
"Sign In","Anmelden"
"Social Security Number","Sozialversicherungsnummer"
"Social security number required","Sozialversicherungsnummer wird benötigt"
"Solvency Information","Bonitätsinformationen"
"Sort Order","Sortierreihenfolgen"
"Status","Status"
"Status After Pending","Status für nicht abgeschlossene Bestellungen"
"Status denied after Klarna pending","Status abgelehnt nach Klarna hängig"
"Store ID","Store ID"
"Store ID (Test)","Store ID (Test)"
"Store the payment details","Speichere Zahlungsdaten"
"Stored payment details","Gespeicherte Zahlungsdetails"
"Submit Order","Bestellung absenden"
"Submitting order information...","Bestellungsinformation übermitteln..."
"Subtotal","Zwischensumme"
"Success","Erfolgreich"
"Successful","Erfolgreich"
"Successful online refund of amount","Der Betrag wurde online erfolgreich zurückerstattet."
"Successful payment authorization.","Die Zahlung wurde erfolgreich autorisiert."
"Successfull online refund of amount","Der Betrag wurde online erfolgreich zurückerstattet."
"Support","Support"
"Tax Amount","Steuerbetrag"
"Technical issue: This payment methods is not available at the moment.","Technisches Problem: Diese Zahlungsmethode ist zur Zeit nicht verfügbar."
"Terms and Conditions","Allgemeine Geschäftsbedingungen"
"Test Environment","Testumgebung"
"Test Mode","Test Modus"
"Test Transaction","Testtransaktion"
"The API password required for the basic authorization will be provided by FirstData Connect (Test).","Das API Passwort, das für die generelle Autorisierung benötigt wird, wird von FirstData Connect bereitgestellt (Test)."
"The API password required for the basic authorization will be provided by FirstData Connect.","Das API Passwort, welche für die grundlegende Autorisierung zuständig ist, wird Ihnen von FirstData Connect zur Verfügung gestellt."
"The HMAC key as defined in the live backoffice of FirstData Connect. You may need generate the HMAC key. Please take a look at the manual how to do this.","Der HMAC Key ist im Live Backoffice von FirstData Connect angegeben. Eventuell müssen Sie den HMAC Key noch generieren. Eine Anleitung dazu finden Sie im Manual."
"The MoTo API password required for the basic authorization. The password is provided by FirstData Connect (Test).","Das MoTo API Passwort, das für die grundlegende Autorisierung benötigt wird. Das Passwort wird von FirstData Connect bereitgestellt (Test)."
"The MoTo API password required for the basic authorization. The password is provided by FirstData Connect.","Das MoTo Passwort, welche für die grundlegende Autorisierung benötigt wird. Das Passwort wird Ihnen von FirstData Connect zur Verfügung gestellt."
"The MoTo User Id who is allowed to access the API","MoTo User mit Zugangsrecht zur API"
"The MoTo User Id who is allowed to access the API (Test)","Die MoTo User ID, die Zugriff auf das API ermöglicht."
"The SEPA mandate schema does not contain the tag '!tag'. This tag is required.","Das SEPA Mandat Scheme enthält leider nich die Bezeichnung '!tag'. Diese Bezeichnung ist aber Pflicht."
"The Store ID will be provided by FirstData Connect and usally consist of 11 digits.","Die Store ID wird Ihnen von FirstData Connect zur Verfügung gestellt und besteht normalerweise aus 11 Ziffern."
"The Store ID will be provided by FirstData Connect and usally consist of 11 digits. (Test)","Die Store ID wird Ihnen von FirstData Connect zur Verfügung gestellt und besteht normalerweise aus 11 Ziffern."
"The User Id who is allowed to access the API will be provided by FirstData Connect (Test).","Die User ID mit der das API freigeschaltet wird, wird von FirstData Connect bereitgestellt (Test)."
"The User Id who is allowed to access the API will be provided by FirstData Connect.","Die User ID, welche Zugang zum API hat, wird von FirstData Connect zur Verfügung gestellt."
"The alias could not be found.","Der Alias konnte nicht gefunden werden."
"The alias has been deleted.","Der Alias wurde gelöscht"
"The alias manager allows the customer to select from a credit card previously stored. The credit card data is stored by FirstData Connect.","Der Alias Manager erlaubt es dem Kunden mit einer bereits gespeicherten Kreditkarte zu bezahlen. Diese Kreditkartendaten werden bei FirstData Connect gespeichert."
"The alias transaction could not be conductet with error code: !code, and reason: !reason:","Die Alias Transaktion konnte nicht durchgeführt werden. Fehlermeldung: !code und Grund: !reason."
"The amount could not be verified.","Der Betrag konnte nicht verifiziert werden."
"The amount of !amount is authorized.","Der Betrag von '!amount' wurde autorisiert."
"The amount of !amount is captured.","Der Betrag von !amount ist verbucht."
"The authorization method '!method' is not supported.","Die Autorisierungsmethode '!method' ist nicht unterstützt."
"The authorization was not successful","Autorisierungsfehler. Die Autorisierung war nicht erfolgreich."
"The brand of the credit card is detected by the card number if hidden authorization is used. If the payment page is used, the user has to select the brand. The allowed credit card brands can be restricted by this setting.","Der Kreditkartenanbieter wird anhand der Kartennummer falls Hidden Authorization benutzt wird. Wird die Zahlungsseite (Payment Page) benutzt, muss der Nutzer den Anbieter manuell auswählen. Über diese Einstellung können auch die akzeptierten Kreditkartenanbieter eingeschränkt werden."
"The brand of the credit card is detected by the card number if hidden authorization is used. The allowed credit card brands can be restricted by this setting. If payment page is used the customer will select the payment method at ____paymetnServiceProviderName____ and this setting is ignored.","Falls Hidden Authorization verwendet wird, kann die Marke der Kreditkarte anhand der Kreditkartennummer ausfindig gemacht werden. Diese Einstellung kann die zulässigen Kreditkartenmarken einschränken. Falls Payment Page genutzt wird, wählt der Kunde die Zahlungsmethode bei  FirstData Connect aus und diese Einstellung wird ignoriert."
"The brand with external name '!key' was not present in the map.","Der Kreditkartenbrand mit dem Namen '!key' konnte nicht zugeordnet werden."
"The brand with key '!key' was not found in the card information map.","Der Kreditkarten Brand mit dem '!key' wurde nicht gefunden in der Karteninformationsmap."
"The cancellation could not be conducted. Error code: !error.","Die Stornierung konnte nicht durchgeführt werden. Fehlercode: !error."
"The capture amount (!captureAmount) cannot be greater than the authorized amount (!authorizedAmount).","Der Verbuchungsbetrag von '!captureAmount' kann nicht grösser sein als der autorisierte Betrag von '!authorizedAmount'."
